character,decomposition,etymology,radical,matches
⺀,？,null,⺀,"[null,null]"
⺈,？,null,⺈,"[null,null]"
⺊,⿰丨？,"{type: ideographic, hint: A crack on an oracle bone; compare 卜}",⺊,"[[0],null]"
⺌,？,null,⺌,"[null,null,null]"
⺍,？,null,⺍,"[null,null,null]"
⺗,？,null,⺗,"[null,null,null,null]"
⺮,？,"{type: pictographic, hint: Two stalks of bamboo; see 竹}",⺮,"[null,null,null,null,null,null]"
⺳,⿱冖八,null,⺳,"[[0],[0],[1],[1]]"
⺼,？,"{type: pictographic, hint: Meat on the ribs of an animal; compare 肉}",⺼,"[null,null,null,null]"
㐆,⿻尸？,null,尸,"[null,[0],[0],null,[0],null]"
㐌,⿱亻也,"{type: pictophonetic, phonetic: 也, semantic: 亻, hint: people}",亻,"[[0],[0],[1],[1],[1]]"
㐬,⿳亠厶川,null,川,"[[0],[0],[1],[1],[2],[2],[2]]"
㐭,⿱亠回,"{type: ideographic, hint: Compare 廩}",亠,"[[0],[0],[1],[1],[1],[1],[1],[1]]"
㐱,⿱人彡,"{type: pictophonetic, phonetic: 人, semantic: 彡, hint: hair}",彡,"[[0],[0],[1],[1],[1]]"
㒸,⿱丷豕,null,豕,"[[0],[0],[1],[1],[1],[1],[1],[1],[1]]"
㒼,⿱廿⿻巾⿰入入,"{type: ideographic, hint: To weights 入 balanced on a scale 巾}",巾,"[[0],[0],[0],[0],[1,0],[1,0],[1,0],[1,1,0],[1,1,0],[1,1,1],[1,1,1]]"
㓞,⿰丰刀,"{type: pictophonetic, semantic: 刀, hint: knife}",刀,"[[0],[0],[0],[0],[1],[1]]"
㔾,？,"{type: pictographic, hint: A rolled-up scroll or kneeling person; compare 卩}",㔾,"[null,null]"
㕡,⿰⿱？谷又,"{type: ideographic, hint: Water flowing through a gorge 谷}",谷,"[null,null,null,null,null,[0,1],[0,1],[0,1],[0,1],[0,1],[0,1],[0,1],[1],[1]]"
㝵,⿱旦寸,"{type: ideographic, hint: A hand 寸 grabbing a shell 旦}",寸,"[[0],[0],[0],[0],[0],[1],[1],[1]]"
㠯,⿻己？,null,己,"[[0],[0],[0],null,null]"
㡭,⿺⿳⿰纟纟一⿰纟纟？,"{type: ideographic, hint: An unbroken thread 纟 from the top to the bottom}",纟,"[[0,0,0],[0,0,0],[0,0,0],[0,0,1],[0,0,1],[0,0,1],[0,1],[0,2,0],[0,2,0],[0,2,0],[0,2,1],[0,2,1],[0,2,1],null]"
㢆,⿸广里,"{type: ideographic, hint: A house 广 in a village 里}",广,"[[0],[0],[0],[1],[1],[1],[1],[1],[1],[1]]"
㢟,⿺廴止,"{type: ideographic, hint: A foot 止 strolling down the road 廴}",廴,"[[1],[1],[1],[0],[0]]"
㣎,⿳白小彡,"{type: ideographic, hint: Seeds 彡 falling off a ripe 白 plant 小}",白,"[[0],[0],[0],[0],[0],[1],[1],[1],[2],[2],[2]]"
㥯,⿱⿳爫工彐心,"{type: pictophonetic, phonetic: 彐, semantic: 心, hint: heart}",心,"[[0,0],[0,0],[0,0],[0,0],[0,1],[0,1],[0,1],[0,2],[0,2],[0,2],[1],[1],[1],[1]]"
㧜,⿰扌匝,"{type: ideographic, hint: To surround 匝 something with a hand 扌}",扌,"[[0],[0],[0],[1],[1],[1],[1],[1]]"
㬎,⿳日⿰幺幺灬,"{type: ideographic, hint: Tiny 幺 motes of dust 灬 in a sunbeam 日}",日,"[[0],[0],[0],[0],[1,0],[1,0],[1,0],[1,1],[1,1],[1,1],[2],[2],[2],[2]]"
㲋,⿳⺈口比,"{type: pictographic, hint: A rabbit looking to the left}",比,"[[0],[0],[1],[1],[1],[2],[2],[2],[2]]"
㳄,⿰氵欠,"{type: pictophonetic, phonetic: 欠, semantic: 氵, hint: water}",氵,"[[0],[0],[0],[1],[1],[1],[1]]"
㼌,⿰瓜瓜,"{type: ideographic, hint: Several melons 瓜 growing}",瓜,"[[0],[0],[0],[0],[0],[1],[1],[1],[1],[1]]"
㿽,⿱兮皿,"{type: pictophonetic, phonetic: 兮, semantic: 皿, hint: dish}",皿,"[[0],[0],[0],[0],[1],[1],[1],[1],[1]]"
䍃,⿱爫缶,"{type: pictographic, hint: Pottery; compare 缶}",缶,"[[0],[0],[0],[0],[1],[1],[1],[1],[1],[1]]"
䕭,⿱艹燅,"{type: pictophonetic, phonetic: 燅, semantic: 艹, hint: grass}",艹,"[[0],[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]]"
䙴,⿳覀大㔾,"{type: pictophonetic, phonetic: 㔾}",覀,"[[0],[0],[0],[0],[0],[0],[1],[1],[1],[2],[2]]"
䜌,⿲糹言糹,"{type: ideographic, hint: A spool 言 bound by thread 糹}",糹,"[[1],[1],[1],[1],[1],[1],[1],[0],[0],[0],[0],[0],[0],[2],[2],[2],[2],[2],[2]]"
䠀,⿰足尚,"{type: pictophonetic, phonetic: 尚, semantic: 足, hint: foot}",足,"[[0],[0],[0],[0],[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1]]"
䧹,⿸广倠,"{type: pictophonetic, phonetic: 广, semantic: 隹, hint: bird}",隹,"[[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]]"
䰾,⿰魚巴,"{type: pictophonetic, phonetic: 巴, semantic: 魚, hint: fish}",魚,"[[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[1],[1],[1],[1]]"
䴉,⿰睘鳥,"{type: pictophonetic, phonetic: 睘, semantic: 鳥, hint: bird}",鳥,"[[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]]"
一,？,"{type: ideographic, hint: Represents heaven (天), earth (旦), or the number 1}",一,[null]
丁,一,"{type: pictographic, hint: A nail}",一,"[[],null]"
丂,⿱一？,null,一,"[[0],null]"
七,⿻一乚,null,一,"[[0],[1]]"
丄,⿱丨一,"{type: ideographic, hint: One stroke on top of another; variant of 上}",一,"[[0],[1]]"
万,⿱一？,null,一,"[[0],null,null]"
丈,⿻一又,null,一,"[[0],[1],[1]]"
三,⿱一二,"{type: ideographic, hint: Three  parallel lines; compare 一 (one) and 二 (two)}",一,"[[0],[1],[1]]"
上,⿱⺊一,"{type: ideographic, hint: One stroke on top of another; compare 下 (below)}",一,"[[0],[0],[1]]"
下,⿱一卜,"{type: ideographic, hint: One stroke under another; compare 上 (above)}",一,"[[0],[1],[1]]"
丌,⿱一？,"{type: pictographic, hint: A table}",一,"[[0],null,null]"
不,⿱一？,"{type: ideographic, hint: A bird flying toward the sky 一}",一,"[[0],null,null,null]"
与,⿹？一,null,一,"[null,null,[1]]"
丏,⿱一？,null,一,"[[0],null,null,null]"
丐,⿱下？,"{type: pictographic, hint: A person leaning forward to ask for help}",一,"[[0],[0],[0],null]"
丑,⿻刀二,null,一,"[[0],[0],[1],[1]]"
专,⿻？一,null,一,"[null,[1],null,null]"
且,⿱月一,"{type: pictographic, hint: A stone altar}",一,"[[0],[0],[0],[0],[1]]"
丕,⿱不一,null,一,"[[0],[0],[0],[0],[1]]"
世,⿻廿？,"{type: pictographic, hint: Three leaves on a branch}",一,"[[0],[0],[0],[0],null]"
丘,⿱斤一,"{type: pictographic, hint: Two hills}",一,"[[0],[0],[0],[0],[1]]"
丙,⿱一内,null,一,"[[0],[1],[1],[1],[1]]"
业,⿱？一,null,一,"[null,null,null,null,[1]]"
丛,⿱从一,"{type: pictophonetic, phonetic: 从, semantic: 一, hint: one}",一,"[[0],[0],[0],[0],[1]]"
东,⿻七小,"{type: pictographic, hint: Simplified form of 東, the sun 日 rising behind a tree 木}",一,"[[0],[0],[1],[1],[1]]"
丝,⿱⿰？？一,"{type: ideographic, hint: Simplified form of 絲, two threads}",一,"[null,null,null,null,[1]]"
丞,⿱氶一,"{type: pictophonetic, phonetic: 氶, semantic: 一, hint: one}",一,"[[0],[0],[0],[0],[0],[1]]"
丟,⿱王厶,null,一,"[[0],[0],[0],[0],[1],[1]]"
丢,⿱王厶,"{type: ideographic, hint: A lost 厶 jade 玉}",一,"[[0],[0],[0],[0],[1],[1]]"
